theme,mouvement,count
science_progres,lumieres,123
morale_vertu,lumieres,354
melancolie_spleen,romantisme,385
reve_spiritualite,romantisme,274
violence_sociale,naturalisme,197
corps_physiologie,naturalisme,610
societe_politique,lumieres,158
nature_paysage,romantisme,442
raison_philosophie,lumieres,444
quotidien_objets,naturalisme,501
amour_sentiments,romantisme,638
travail_misere,naturalisme,295
TOTAL_romantisme,romantisme,1739
TOTAL_naturalisme,naturalisme,1603
TOTAL_lumieres,lumieres,1079
