theme,mouvement,count
science_progres,lumieres,214
morale_vertu,lumieres,856
melancolie_spleen,romantisme,782
reve_spiritualite,romantisme,376
violence_sociale,naturalisme,554
corps_physiologie,naturalisme,1639
societe_politique,lumieres,1318
nature_paysage,romantisme,831
raison_philosophie,lumieres,430
quotidien_objets,naturalisme,1685
amour_sentiments,romantisme,969
travail_misere,naturalisme,837
TOTAL_romantisme,romantisme,2958
TOTAL_naturalisme,naturalisme,4715
TOTAL_lumieres,lumieres,2818
