theme,mouvement,count
science_progres,lumieres,140
morale_vertu,lumieres,413
melancolie_spleen,romantisme,494
reve_spiritualite,romantisme,347
violence_sociale,naturalisme,167
corps_physiologie,naturalisme,717
societe_politique,lumieres,144
nature_paysage,romantisme,555
raison_philosophie,lumieres,320
quotidien_objets,naturalisme,504
amour_sentiments,romantisme,1360
travail_misere,naturalisme,320
TOTAL_romantisme,romantisme,2756
TOTAL_naturalisme,naturalisme,1708
TOTAL_lumieres,lumieres,1017
