theme,mouvement,count
science_progres,lumieres,83
morale_vertu,lumieres,207
melancolie_spleen,romantisme,277
reve_spiritualite,romantisme,177
violence_sociale,naturalisme,226
corps_physiologie,naturalisme,589
societe_politique,lumieres,206
nature_paysage,romantisme,313
raison_philosophie,lumieres,135
quotidien_objets,naturalisme,546
amour_sentiments,romantisme,435
travail_misere,naturalisme,246
TOTAL_romantisme,romantisme,1202
TOTAL_naturalisme,naturalisme,1607
TOTAL_lumieres,lumieres,631
