theme,mouvement,count
science_progres,lumieres,372
morale_vertu,lumieres,1034
melancolie_spleen,romantisme,1076
reve_spiritualite,romantisme,482
violence_sociale,naturalisme,724
corps_physiologie,naturalisme,1308
societe_politique,lumieres,849
nature_paysage,romantisme,824
raison_philosophie,lumieres,814
quotidien_objets,naturalisme,1420
amour_sentiments,romantisme,1330
travail_misere,naturalisme,1120
TOTAL_romantisme,romantisme,3712
TOTAL_naturalisme,naturalisme,4572
TOTAL_lumieres,lumieres,3069
