theme,mouvement,count
science_progres,lumieres,91
morale_vertu,lumieres,593
melancolie_spleen,romantisme,538
reve_spiritualite,romantisme,206
violence_sociale,naturalisme,413
corps_physiologie,naturalisme,1261
societe_politique,lumieres,239
nature_paysage,romantisme,628
raison_philosophie,lumieres,258
quotidien_objets,naturalisme,1239
amour_sentiments,romantisme,800
travail_misere,naturalisme,611
TOTAL_romantisme,romantisme,2172
TOTAL_naturalisme,naturalisme,3524
TOTAL_lumieres,lumieres,1181
