theme,mouvement,count
science_progres,lumieres,58
morale_vertu,lumieres,716
melancolie_spleen,romantisme,314
reve_spiritualite,romantisme,170
violence_sociale,naturalisme,107
corps_physiologie,naturalisme,382
societe_politique,lumieres,120
nature_paysage,romantisme,203
raison_philosophie,lumieres,386
quotidien_objets,naturalisme,329
amour_sentiments,romantisme,585
travail_misere,naturalisme,397
TOTAL_romantisme,romantisme,1272
TOTAL_naturalisme,naturalisme,1215
TOTAL_lumieres,lumieres,1280
