theme,mouvement,count
science_progres,lumieres,77
morale_vertu,lumieres,937
melancolie_spleen,romantisme,427
reve_spiritualite,romantisme,216
violence_sociale,naturalisme,145
corps_physiologie,naturalisme,495
societe_politique,lumieres,138
nature_paysage,romantisme,262
raison_philosophie,lumieres,359
quotidien_objets,naturalisme,308
amour_sentiments,romantisme,889
travail_misere,naturalisme,360
TOTAL_romantisme,romantisme,1794
TOTAL_naturalisme,naturalisme,1308
TOTAL_lumieres,lumieres,1511
