livre                                   ,courant_detecte
Atala.txt                               ,romantisme
Aurélia.txt                             ,romantisme
Bug-Jargal_originale.txt                ,romantisme
Carmen_(Mérimée).txt                    ,naturalisme
Cinq-Mars.txt                           ,romantisme
Claude_Gueux.txt                        ,naturalisme
Colomba_(RDDM).txt                      ,naturalisme
Consuelo.txt                            ,romantisme
François_le_Champi.txt                  ,lumieres
Graziella.txt                           ,romantisme
Han_d’Islande.txt                       ,romantisme
Indiana.txt                             ,romantisme
La_Dame_de_Monsoreau.txt                ,naturalisme
La_Mare_au_diable.txt                   ,romantisme
La_Petite_Fadette.txt                   ,romantisme
La_Reine_Margot_(Dumas).txt             ,naturalisme
Le_Collier_de_la_reine.txt              ,naturalisme
Le_Comte_de_Monte-Cristo.txt            ,naturalisme
Le_Dernier_Jour_d’un_Condamné.txt       ,naturalisme
Le_Vicomte_de_Bragelonne.txt            ,romantisme
Les_Filles_du_feu_Sylvie.txt            ,romantisme
Les_Misérables.txt                      ,naturalisme
Les_Travailleurs_de_la_mer.txt          ,romantisme
Les_Trois_Mousquetaires.txt             ,naturalisme
Lélia_(RDDM).txt                        ,romantisme
L’Homme_qui_rit_éd._1869.txt            ,romantisme
Mademoiselle_de_Maupin_Édition_1880.txt ,romantisme
Mauprat.txt                             ,romantisme
Notre-Dame_de_Paris.txt                 ,naturalisme
Quatrevingt-treize.txt                  ,naturalisme
Servitude_et_grandeur_militaires.txt    ,naturalisme
Stello.txt                              ,naturalisme
Vingt_ans_après.txt                     ,naturalisme
Volupté_(Sainte-Beuve).txt              ,romantisme
TOTAL_romantisme                        ,18
TOTAL_naturalisme                       ,15
TOTAL_lumieres                          ,1
