theme,mouvement,count
science_progres,lumieres,871
morale_vertu,lumieres,2654
melancolie_spleen,romantisme,3042
reve_spiritualite,romantisme,2771
violence_sociale,naturalisme,1778
corps_physiologie,naturalisme,3749
societe_politique,lumieres,2957
nature_paysage,romantisme,3625
raison_philosophie,lumieres,2045
quotidien_objets,naturalisme,4818
amour_sentiments,romantisme,3422
travail_misere,naturalisme,3044
TOTAL_romantisme,romantisme,12860
TOTAL_naturalisme,naturalisme,13389
TOTAL_lumieres,lumieres,8527
