theme,mouvement,count
science_progres,lumieres,862
morale_vertu,lumieres,3933
melancolie_spleen,romantisme,3395
reve_spiritualite,romantisme,1918
violence_sociale,naturalisme,1538
corps_physiologie,naturalisme,4740
societe_politique,lumieres,1788
nature_paysage,romantisme,2942
raison_philosophie,lumieres,2078
quotidien_objets,naturalisme,4873
amour_sentiments,romantisme,4093
travail_misere,naturalisme,2792
TOTAL_romantisme,romantisme,12348
TOTAL_naturalisme,naturalisme,13943
TOTAL_lumieres,lumieres,8661
