theme,mouvement,count
science_progres,lumieres,325
morale_vertu,lumieres,1857
melancolie_spleen,romantisme,1534
reve_spiritualite,romantisme,789
violence_sociale,naturalisme,1127
corps_physiologie,naturalisme,1980
societe_politique,lumieres,766
nature_paysage,romantisme,997
raison_philosophie,lumieres,861
quotidien_objets,naturalisme,2192
amour_sentiments,romantisme,1853
travail_misere,naturalisme,1209
TOTAL_romantisme,romantisme,5173
TOTAL_naturalisme,naturalisme,6508
TOTAL_lumieres,lumieres,3809
