theme,mouvement,count
science_progres,lumieres,62
morale_vertu,lumieres,431
melancolie_spleen,romantisme,257
reve_spiritualite,romantisme,103
violence_sociale,naturalisme,211
corps_physiologie,naturalisme,423
societe_politique,lumieres,180
nature_paysage,romantisme,251
raison_philosophie,lumieres,196
quotidien_objets,naturalisme,471
amour_sentiments,romantisme,317
travail_misere,naturalisme,279
TOTAL_romantisme,romantisme,928
TOTAL_naturalisme,naturalisme,1384
TOTAL_lumieres,lumieres,869
