theme,mouvement,count
science_progres,lumieres,423
morale_vertu,lumieres,2532
melancolie_spleen,romantisme,1642
reve_spiritualite,romantisme,943
violence_sociale,naturalisme,1255
corps_physiologie,naturalisme,2876
societe_politique,lumieres,899
nature_paysage,romantisme,1351
raison_philosophie,lumieres,1094
quotidien_objets,naturalisme,2626
amour_sentiments,romantisme,2263
travail_misere,naturalisme,1344
TOTAL_romantisme,romantisme,6199
TOTAL_naturalisme,naturalisme,8101
TOTAL_lumieres,lumieres,4948
