theme,mouvement,count
science_progres,lumieres,1057
morale_vertu,lumieres,6851
melancolie_spleen,romantisme,4362
reve_spiritualite,romantisme,2807
violence_sociale,naturalisme,2498
corps_physiologie,naturalisme,6310
societe_politique,lumieres,2613
nature_paysage,romantisme,3692
raison_philosophie,lumieres,3176
quotidien_objets,naturalisme,4841
amour_sentiments,romantisme,6748
travail_misere,naturalisme,2995
TOTAL_romantisme,romantisme,17609
TOTAL_naturalisme,naturalisme,16644
TOTAL_lumieres,lumieres,13697
