theme,mouvement,count
science_progres,lumieres,300
morale_vertu,lumieres,1644
melancolie_spleen,romantisme,1296
reve_spiritualite,romantisme,744
violence_sociale,naturalisme,920
corps_physiologie,naturalisme,2472
societe_politique,lumieres,613
nature_paysage,romantisme,1022
raison_philosophie,lumieres,798
quotidien_objets,naturalisme,2295
amour_sentiments,romantisme,1869
travail_misere,naturalisme,1002
TOTAL_romantisme,romantisme,4931
TOTAL_naturalisme,naturalisme,6689
TOTAL_lumieres,lumieres,3355
