theme,mouvement,count
science_progres,lumieres,757
morale_vertu,lumieres,4742
melancolie_spleen,romantisme,2612
reve_spiritualite,romantisme,1690
violence_sociale,naturalisme,772
corps_physiologie,naturalisme,2415
societe_politique,lumieres,2097
nature_paysage,romantisme,1139
raison_philosophie,lumieres,2051
quotidien_objets,naturalisme,1242
amour_sentiments,romantisme,7043
travail_misere,naturalisme,1465
TOTAL_romantisme,romantisme,12484
TOTAL_naturalisme,naturalisme,5894
TOTAL_lumieres,lumieres,9647
