theme,mouvement,count
science_progres,lumieres,197
morale_vertu,lumieres,2493
melancolie_spleen,romantisme,1264
reve_spiritualite,romantisme,699
violence_sociale,naturalisme,348
corps_physiologie,naturalisme,1226
societe_politique,lumieres,918
nature_paysage,romantisme,226
raison_philosophie,lumieres,1193
quotidien_objets,naturalisme,854
amour_sentiments,romantisme,2529
travail_misere,naturalisme,733
TOTAL_romantisme,romantisme,4718
TOTAL_naturalisme,naturalisme,3161
TOTAL_lumieres,lumieres,4801
