theme,mouvement,count
science_progres,lumieres,83
morale_vertu,lumieres,122
melancolie_spleen,romantisme,152
reve_spiritualite,romantisme,93
violence_sociale,naturalisme,52
corps_physiologie,naturalisme,159
societe_politique,lumieres,66
nature_paysage,romantisme,151
raison_philosophie,lumieres,161
quotidien_objets,naturalisme,201
amour_sentiments,romantisme,224
travail_misere,naturalisme,95
TOTAL_romantisme,romantisme,620
TOTAL_naturalisme,naturalisme,507
TOTAL_lumieres,lumieres,432
